hr,gsr,rr,t_start_eis,t_start_video
64,121,1145,,
63,121,953,,
64,121,853,,
64,121,895,,
64,121,993,,
64,121,882,,
64,121,795,,
64,121,864,,
63,121,1029,,
64,121,1073,,
64,121,886,,
63,121,954,,
64,121,1009,,
63,121,900,,
63,121,843,,
63,121,888,,
,,951,,
,,911,,
,,1013,,
,,1071,,
,,900,,
,,963,,
,,1010,,
,,934,,
,,1035,,
,,960,,
,,878,,
,,973,,
,,964,,
,,911,,
,,1028,,
,,981,,
,,934,,
,,1063,,
,,946,,
,,877,,
,,1047,,
,,1052,,
,,907,,
,,897,,
,,1026,,
,,984,,
,,917,,
,,1036,,
,,1053,,
,,936,,
,,1017,,
,,1034,,
,,1019,,
,,881,,
,,880,,
,,941,,
,,914,,
,,900,,
,,973,,
,,951,,
,,876,,
,,929,,
,,950,,
,,896,,
,,994,,
,,1037,,
,,913,,
,,943,,
,,979,,
,,941,,
,,856,,
,,951,,
,,991,,
,,891,,
,,901,,
,,978,,
,,966,,
,,921,,
,,973,,
,,961,,
,,891,,
,,975,,
,,983,,
,,915,,
,,982,,
,,976,,
,,914,,
