roll, pitch, yaw,nr,time
34.06,20.18,-20.5,159,Tue Oct  3 19:51:34 2017
36.25,31.71,-16.23,160,Tue Oct  3 19:51:34 2017
41.06,39.07,-13.62,161,Tue Oct  3 19:51:34 2017
45.47,34.62,-14.01,162,Tue Oct  3 19:51:34 2017
67.89,10.84,1.83,163,Tue Oct  3 19:51:34 2017
74.49,-4.51,5.99,164,Tue Oct  3 19:51:34 2017
84.95,-4.41,-3.01,165,Tue Oct  3 19:51:34 2017
85.74,-6.3,-4.65,166,Tue Oct  3 19:51:34 2017
83.32,-5.32,-8.06,167,Tue Oct  3 19:51:34 2017
82.25,-3.39,-9.13,168,Tue Oct  3 19:51:34 2017
86.29,-4.63,-9.33,169,Tue Oct  3 19:51:34 2017
95.2,-7.61,-9.52,170,Tue Oct  3 19:51:34 2017
99.57,-8.51,-7.84,171,Tue Oct  3 19:51:34 2017
92.39,-11.95,3.44,172,Tue Oct  3 19:51:34 2017
105.73,-13.29,3.98,173,Tue Oct  3 19:51:34 2017
107.41,-25.61,5.67,174,Tue Oct  3 19:51:34 2017
116.38,-31.62,2.51,175,Tue Oct  3 19:51:34 2017
122.07,-21.17,-5.16,176,Tue Oct  3 19:51:34 2017
125.64,-13.83,-8.43,177,Tue Oct  3 19:51:35 2017
129.7,-14.16,-9.98,178,Tue Oct  3 19:51:35 2017
132.35,-11.05,-11.63,179,Tue Oct  3 19:51:35 2017
134.19,-7.07,-12.37,180,Tue Oct  3 19:51:35 2017
134.33,-8.35,-12.29,181,Tue Oct  3 19:51:35 2017
133.8,-10.3,-12.5,182,Tue Oct  3 19:51:35 2017
134.01,-10.67,-13.38,183,Tue Oct  3 19:51:35 2017
134.26,-11.33,-13.88,184,Tue Oct  3 19:51:35 2017
135.01,-11.41,-14.78,185,Tue Oct  3 19:51:35 2017
134.71,-12.71,-15.33,186,Tue Oct  3 19:51:35 2017
134.6,-13.31,-16.87,187,Tue Oct  3 19:51:35 2017
133.29,-15.34,-17.09,188,Tue Oct  3 19:51:35 2017
132.93,-16.24,-17.38,189,Tue Oct  3 19:51:35 2017
132.28,-16.18,-17.38,190,Tue Oct  3 19:51:35 2017
131.84,-16.79,-17.22,191,Tue Oct  3 19:51:35 2017
131.24,-17.63,-16.79,192,Tue Oct  3 19:51:35 2017
130.85,-18.76,-16.19,193,Tue Oct  3 19:51:35 2017
130.9,-18.88,-16.01,194,Tue Oct  3 19:51:35 2017
130.22,-20.17,-15.31,195,Tue Oct  3 19:51:35 2017
129.96,-20.34,-15.11,196,Tue Oct  3 19:51:36 2017
129.04,-21.54,-14.41,197,Tue Oct  3 19:51:36 2017
128.77,-21.88,-14.23,198,Tue Oct  3 19:51:36 2017
128.31,-22.41,-13.95,199,Tue Oct  3 19:51:36 2017
128.0,-22.68,-13.79,200,Tue Oct  3 19:51:36 2017
127.13,-23.59,-13.24,201,Tue Oct  3 19:51:36 2017
126.52,-23.69,-12.98,202,Tue Oct  3 19:51:36 2017
